trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 1.0, 'e': 0.9880717128619305}",20,0,-105.09733632996394,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
2,False,"{'a': 0.6155722066724582, 'e': 0.9762857097579093}",20,0,-56.16823673728186,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
3,False,"{'a': 0.46346305677196975, 'e': 0.9646402934831231}",20,0,-83.8685540530415,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
4,False,"{'a': 0.37892914162759955, 'e': 0.9531337870775047}",20,0,-128.83710482119827,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.32413131933855255, 'e': 0.9417645335842487}",25,0,-91.9121922351547,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
6,False,"{'a': 0.28529497656828423, 'e': 0.9305308958112057}",20,0,-51.19976472441715,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.2561128517887139, 'e': 0.9194312560951247}",20,0,-125.63891378618325,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.23325824788420185, 'e': 0.9084640160687062}",25,12,-61.579016212569144,"{0: 6, 1: 2, 2: 4, 3: 1, 4: 0}",1
9,False,"{'a': 0.2147980049924181, 'e': 0.8976275964304349}",25,0,-63.69329162023898,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.199526231496888, 'e': 0.8869204367171575}",30,0,-87.1365411720423,"{0: 19, 1: 7, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.18664876487807674, 'e': 0.8763409950793732}",20,0,-133.70060236126682,"{0: 9, 1: 4, 2: 4, 3: 2, 4: 1}",0
12,False,"{'a': 0.17561965827870596, 'e': 0.865887748059205}",20,0,-3.209476634059664,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.16605029572473692, 'e': 0.8555591903710185}",20,0,-136.74225976278996,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.15765595333275484, 'e': 0.8453538346846587}",20,0,-87.5081094932159,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
15,False,"{'a': 0.15022289205617703, 'e': 0.835270211411272}",30,0,-159.53139682374086,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
16,False,"{'a': 0.1435872943746294, 'e': 0.8253068684916823}",25,0,-68.09007018091638,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.13762133139302657, 'e': 0.8154623711872927}",20,0,-129.56635319935583,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.1322236819220245, 'e': 0.8057353018734796}",20,0,-149.5116246917368,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 3}",0
19,False,"{'a': 0.1273129200782941, 'e': 0.7961242598354538}",30,0,-135.4170990667026,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.8, 'e': 0.7866278610665535}",20,0,-176.505232395227,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
21,False,"{'a': 0.1186988451685838, 'e': 0.7772447380689461}",25,0,-175.37925057923366,"{0: 16, 1: 3, 2: 2, 3: 0, 4: 4}",0
22,False,"{'a': 0.11489579206868651, 'e': 0.7679735396567061}",20,0,-88.09467016574213,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.11137571748460057, 'e': 0.7588129307612415}",25,0,-159.54503198116362,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
24,False,"{'a': 0.10810658058168605, 'e': 0.7497615922390413}",35,12,-87.55526871674238,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 2}",1
25,False,"{'a': 0.1050611121761507, 'e': 0.7408182206817179}",25,0,-98.82793773824498,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
26,False,"{'a': 0.10221594695789055, 'e': 0.7319815282283126}",20,8,-79.0133287576547,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 2}",1
27,False,"{'a': 0.09955093998230692, 'e': 0.7232502423798425}",30,0,-157.69938377378477,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
28,False,"{'a': 0.09704862308809399, 'e': 0.7146231058160574}",20,8,-17.050673325454195,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
29,False,"{'a': 0.09469376873663722, 'e': 0.7060988762143844}",25,0,-137.3519322013879,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
30,False,"{'a': 0.09247303715573939, 'e': 0.6976763260710311}",20,0,-31.92908952205723,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
31,False,"{'a': 0.09037468869152207, 'e': 0.6893542425242224}",25,0,-51.78366352999541,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.08838834764831845, 'e': 0.6811314271795471}",20,12,-7.788830181474223,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
33,False,"{'a': 0.08650480711310612, 'e': 0.6730066959373865}",20,0,-40.38256048122815,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.084715866650807, 'e': 0.6649788788224019}",20,0,-104.99058793985347,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",1
35,False,"{'a': 0.083014196549835, 'e': 0.6570468198150567}",25,0,-159.8418538933444,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
36,False,"{'a': 0.08139322365509784, 'e': 0.6492093766851474}",25,0,-103.09546788411048,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
37,False,"{'a': 0.079847034862847, 'e': 0.6414654208273198}",20,0,-121.27077876715524,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
38,False,"{'a': 0.0783702951505098, 'e': 0.633813837098549}",20,0,-125.52486777495733,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
39,False,"{'a': 0.07695817763447613, 'e': 0.6262535236575559}",30,0,-98.63527255510064,"{0: 19, 1: 5, 2: 5, 3: 0, 4: 1}",0
40,False,"{'a': 0.8, 'e': 0.6187833918061408}",25,0,-93.3502673943177,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.0743106910951118, 'e': 0.6114023658324087}",20,0,-61.93093762574381,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
42,False,"{'a': 0.07306771004989758, 'e': 0.6041093828558647}",25,0,-38.66945117133398,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
43,False,"{'a': 0.07187404398829542, 'e': 0.596903392674358}",20,0,-115.37620891193802,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.07072665626110128, 'e': 0.5897833576128505}",25,0,-52.89531477423949,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.06962276074948147, 'e': 0.5827482523739896}",25,0,-144.65436466491727,"{0: 18, 1: 1, 2: 2, 3: 1, 4: 3}",0
46,False,"{'a': 0.06855979618172385, 'e': 0.5757970638904646}",20,0,-61.399045831060846,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
47,False,"{'a': 0.06753540357499276, 'e': 0.5689287911791218}",20,0,-51.32146923511879,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.0665474063644824, 'e': 0.5621424451968224}",20,6,-0.3202402182582611,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
49,False,"{'a': 0.06559379285134774, 'e': 0.5554370486980182}",25,0,-25.630603317633692,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
50,False,"{'a': 0.06467270065773575, 'e': 0.5488116360940265}",25,0,19.80091550569519,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
51,False,"{'a': 0.06378240292444035, 'e': 0.5422652533139832}",20,0,-31.56695805098694,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
52,False,"{'a': 0.06292129602598363, 'e': 0.535796957667456}",30,0,-4.8681255253758255,"{0: 25, 1: 3, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.06208788861073945, 'e': 0.5294058177086945}",20,0,-72.55088793385454,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
54,False,"{'a': 0.06128079180122612, 'e': 0.5230909131025008}",25,0,8.40627260907463,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
55,False,"{'a': 0.060498710412842306, 'e': 0.5168513344916993}",25,0,-104.3063399756359,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
56,False,"{'a': 0.05974043506886169, 'e': 0.5106861833661879}",20,0,-24.255617802408043,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
57,False,"{'a': 0.05900483510605168, 'e': 0.5045945719335512}",20,0,-83.75460433751293,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
58,False,"{'a': 0.058290852179343204, 'e': 0.49857562299121655}",35,0,-121.13232516946337,"{0: 27, 1: 1, 2: 3, 3: 2, 4: 2}",0
59,False,"{'a': 0.05759749448596083, 'e': 0.49262846980013547}",25,0,-90.88932533938413,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
60,False,"{'a': 0.8, 'e': 0.4867522559599717}",20,12,-21.241454313250046,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
