trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999968750016276}",20,0,-104.9367811434345,"{0: 9, 1: 1, 2: 9, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.9999875000260416}",20,0,-44.869862400306324,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.9999718751318357}",20,0,-50.043144804821395,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.9999500004166653}",20,0,-95.49952998286905,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9999218760172474}",30,0,-125.38585678894063,"{0: 14, 1: 5, 2: 10, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,0,-112.60130873110766,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9998468789078377}",20,0,-126.03525077476218,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9998000066665778}",30,0,-141.68678752732646,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9997468856785308}",25,0,-82.05656195239857,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.9996875162757026}",30,0,-98.42804956579333,"{0: 20, 1: 1, 2: 6, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.9996218988291519}",20,2,-63.38071842359019,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.9995500337489875}",30,0,-154.64556698483418,"{0: 12, 1: 8, 2: 9, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9994719214843659}",25,0,-113.92003349494996,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9993875625234886}",20,5,-97.3849506183615,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.9992969573935987}",20,0,-93.10692483501006,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9992001066609779}",20,0,-150.1411039928788,"{0: 8, 1: 1, 2: 9, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9990970109309432}",25,0,-115.79553532887844,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.9989876708478425}",35,0,-175.38003935552882,"{0: 22, 1: 4, 2: 4, 3: 3, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9988720870950507}",30,0,-109.32293633806322,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9987502603949663}",30,0,-109.2912130293144,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.9986221915090054}",35,0,-156.36890864591308,"{0: 23, 1: 5, 2: 4, 3: 0, 4: 3}",0
22,False,"{'a': 0.5, 'e': 0.9984878812375985}",30,0,-220.7025370663543,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
