trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9704455335485082, 'e': 0.9999968750016276}",25,0,-76.27136843420503,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
2,False,"{'a': 0.9417645335842487, 'e': 0.9999875000260416}",35,0,-72.40090497242488,"{0: 27, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.9139311852712282, 'e': 0.9999718751318357}",20,0,-93.31811105171668,"{0: 7, 1: 6, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.8869204367171575, 'e': 0.9999500004166653}",20,0,-89.31324341041253,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.8607079764250578, 'e': 0.9999218760172474}",20,0,-169.05956143272266,"{0: 6, 1: 5, 2: 5, 3: 3, 4: 1}",0
6,False,"{'a': 0.835270211411272, 'e': 0.9998875021093592}",30,7,-126.98721699919953,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 2}",1
7,False,"{'a': 0.8105842459701871, 'e': 0.9998468789078377}",20,0,-150.4336671232291,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.7866278610665535, 'e': 0.9998000066665778}",20,0,-168.80229163840966,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 4}",0
9,False,"{'a': 0.7633794943368531, 'e': 0.9997468856785308}",20,0,-144.73513543448385,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.7408182206817179, 'e': 0.9996875162757026}",25,0,-167.48056153415615,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
11,False,"{'a': 0.7189237334319262, 'e': 0.9996218988291519}",30,0,-105.44688279484228,"{0: 19, 1: 2, 2: 7, 3: 2, 4: 0}",0
12,False,"{'a': 0.6976763260710311, 'e': 0.9995500337489875}",20,0,-138.46871189472344,"{0: 9, 1: 6, 2: 2, 3: 1, 4: 2}",0
