trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9704455335485082, 'e': 0.9999968750016276}",25,0,-152.80163154593475,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
2,False,"{'a': 0.9417645335842487, 'e': 0.9999875000260416}",20,0,-122.16238294435232,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.9139311852712282, 'e': 0.9999718751318357}",25,5,-67.85598789869206,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
4,False,"{'a': 0.8869204367171575, 'e': 0.9999500004166653}",25,0,-201.2546079773307,"{0: 15, 1: 0, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.8607079764250578, 'e': 0.9999218760172474}",35,0,-262.6251521088812,"{0: 18, 1: 7, 2: 5, 3: 0, 4: 5}",0
6,False,"{'a': 0.835270211411272, 'e': 0.9998875021093592}",25,0,-160.02305013185344,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 2}",0
7,False,"{'a': 0.8105842459701871, 'e': 0.9998468789078377}",20,0,-135.05322541698354,"{0: 10, 1: 5, 2: 2, 3: 1, 4: 2}",0
8,False,"{'a': 0.7866278610665535, 'e': 0.9998000066665778}",25,0,-75.05290037829235,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
9,False,"{'a': 0.7633794943368531, 'e': 0.9997468856785308}",25,0,-168.62674236407906,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.7408182206817179, 'e': 0.9996875162757026}",25,0,-174.1623044306438,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
11,False,"{'a': 0.7189237334319262, 'e': 0.9996218988291519}",30,2,-217.46463877816663,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 3}",1
12,False,"{'a': 0.6976763260710311, 'e': 0.9995500337489875}",25,0,-110.84072417115088,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
13,False,"{'a': 0.6770568744981647, 'e': 0.9994719214843659}",30,0,-135.35867805946376,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
14,False,"{'a': 0.6570468198150567, 'e': 0.9993875625234886}",20,0,-192.22551469098622,"{0: 8, 1: 2, 2: 7, 3: 0, 4: 3}",0
15,False,"{'a': 0.6376281516217733, 'e': 0.9992969573935987}",20,14,-7.1391623710053596,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.6187833918061408, 'e': 0.9992001066609779}",25,0,-104.92139727394955,"{0: 10, 1: 8, 2: 6, 3: 1, 4: 0}",1
17,False,"{'a': 0.6004955788122659, 'e': 0.9990970109309432}",25,1,-129.73983719425715,"{0: 11, 1: 1, 2: 10, 3: 2, 4: 0}",1
18,False,"{'a': 0.5827482523739896, 'e': 0.9989876708478425}",30,0,-119.48797464749303,"{0: 19, 1: 6, 2: 3, 3: 0, 4: 2}",1
19,False,"{'a': 0.5655254386995372, 'e': 0.9988720870950507}",25,0,-89.74716626102305,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
