trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9704455335485082, 'e': 0.97}",25,0,-163.00236052999813,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.9417645335842487, 'e': 0.9409}",30,0,-128.1460585553616,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
3,False,"{'a': 0.9139311852712282, 'e': 0.912673}",25,0,-135.54206448755485,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.8869204367171575, 'e': 0.8852928099999999}",25,0,-170.29527267577512,"{0: 16, 1: 0, 2: 3, 3: 4, 4: 2}",0
5,False,"{'a': 0.8607079764250578, 'e': 0.8587340256999999}",20,8,-64.84250299453826,"{0: 7, 1: 3, 2: 0, 3: 1, 4: 1}",1
6,False,"{'a': 0.835270211411272, 'e': 0.8329720049289998}",20,4,-33.56057819986008,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 0}",1
7,False,"{'a': 0.8105842459701871, 'e': 0.8079828447811298}",35,17,-118.09660796553311,"{0: 12, 1: 1, 2: 1, 3: 2, 4: 2}",1
8,False,"{'a': 0.7866278610665535, 'e': 0.7837433594376959}",30,0,-185.88180682114898,"{0: 20, 1: 4, 2: 1, 3: 1, 4: 4}",0
9,False,"{'a': 0.7633794943368531, 'e': 0.7602310586545651}",35,11,-120.39823648193082,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 1}",1
10,False,"{'a': 0.7408182206817179, 'e': 0.7374241268949281}",25,2,-86.9987852681613,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 1}",1
11,False,"{'a': 0.7189237334319262, 'e': 0.7153014030880802}",25,2,-21.205973018739133,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 0}",1
12,False,"{'a': 0.6976763260710311, 'e': 0.6938423609954377}",25,0,-135.64088958894297,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.6770568744981647, 'e': 0.6730270901655746}",25,0,-112.6600340256245,"{0: 18, 1: 2, 2: 1, 3: 2, 4: 2}",0
14,False,"{'a': 0.6570468198150567, 'e': 0.6528362774606074}",30,0,-49.30626779445253,"{0: 23, 1: 5, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.6376281516217733, 'e': 0.6332511891367891}",20,13,-18.097805198315672,"{0: 4, 1: 1, 2: 2, 3: 0, 4: 0}",1
16,False,"{'a': 0.6187833918061408, 'e': 0.6142536534626855}",25,0,-86.63313448574043,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.6004955788122659, 'e': 0.5958260438588049}",20,0,-82.335865166156,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
18,False,"{'a': 0.5827482523739896, 'e': 0.5779512625430407}",25,0,-111.432913436811,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.5655254386995372, 'e': 0.5606127246667495}",25,10,7.343537938634222,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5488116360940265, 'e': 0.543794342926747}",25,7,-98.86008510617258,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 2}",1
21,False,"{'a': 0.5325918010068972, 'e': 0.5274805126389446}",20,8,-52.368856119380425,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.5168513344916993, 'e': 0.5116560972597762}",30,0,-149.18295215302362,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
23,False,"{'a': 0.5015760690660556, 'e': 0.49630641434198286}",25,10,-42.789323285086375,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
24,False,"{'a': 0.4867522559599717, 'e': 0.48141722191172337}",20,0,-41.776928137166216,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.8, 'e': 0.4669747052543717}",30,13,-112.56000207397669,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 2}",1
26,False,"{'a': 0.45840601130522357, 'e': 0.4529654640967405}",20,0,-43.245854559742156,"{0: 13, 1: 5, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.44485806622294116, 'e': 0.4393765001738383}",20,13,-9.373863875488631,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 0.43171052342907973, 'e': 0.42619520516862314}",20,0,-82.7952575291291,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
29,False,"{'a': 0.418951549247639, 'e': 0.4134093490135644}",30,0,-154.88504862710036,"{0: 18, 1: 5, 2: 4, 3: 0, 4: 3}",1
30,False,"{'a': 0.40656965974059917, 'e': 0.4010070685431575}",35,4,-123.12012065567158,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 2}",1
31,False,"{'a': 0.3945537103716012, 'e': 0.38897685648686275}",20,9,-18.492294952953912,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
32,False,"{'a': 0.38289288597511206, 'e': 0.37730755079225686}",25,0,13.173850555080888,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
33,False,"{'a': 0.3715766910220457, 'e': 0.36598832426848915}",20,0,-42.53043415458723,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
34,False,"{'a': 0.3605949401730783, 'e': 0.35500867454043444}",30,3,-23.2672476009996,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 0}",1
35,False,"{'a': 0.3499377491111553, 'e': 0.3443584143042214}",20,1,-73.09314724200696,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 2}",1
36,False,"{'a': 0.33959552564493917, 'e': 0.33402766187509475}",25,17,15.517986153049936,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.3295589610751891, 'e': 0.3240068320188419}",25,0,-46.69693601839614,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
38,False,"{'a': 0.31981902181630395, 'e': 0.31428662705827665}",25,13,-25.01949536921776,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
39,False,"{'a': 0.31036694126548503, 'e': 0.30485802824652836}",20,0,-13.634213435278864,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
40,False,"{'a': 0.30119421191220214, 'e': 0.29571228739913247}",20,14,9.101170992972534,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.2922925776808594, 'e': 0.2868409187771585}",25,5,-18.861349595031975,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",1
42,False,"{'a': 0.2836540264997704, 'e': 0.2782356912138437}",25,0,-1.0078213251317139,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",1
43,False,"{'a': 0.27527078308975234, 'e': 0.2698886204774284}",25,0,-40.91786324013512,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
44,False,"{'a': 0.26713530196585045, 'e': 0.26179196186310555}",25,15,-7.333459002926245,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.25924026064589156, 'e': 0.25393820300721237}",20,13,10.878114330911401,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.25157855305975657, 'e': 0.246320056916996}",20,2,1.424542301167744,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.2441432831534371, 'e': 0.2389304552094861}",25,16,4.925482561401655,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
48,False,"{'a': 0.2369277586821218, 'e': 0.23176254155320153}",20,8,15.14453198841326,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.22992548518672387, 'e': 0.22480966530660546}",20,16,5.405869122944382,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.8, 'e': 0.2180653753474073}",20,13,-30.724417005858378,"{0: 5, 1: 0, 2: 0, 3: 2, 4: 0}",1
51,False,"{'a': 0.21653566731600707, 'e': 0.21152341408698508}",20,0,14.32755174115982,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.21013607120076475, 'e': 0.2051777116643755}",25,13,-40.757398949167076,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.20392561173421347, 'e': 0.19902238031444425}",20,0,5.917030855770815,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
54,False,"{'a': 0.1978986990836147, 'e': 0.19305170890501092}",20,12,3.27492801511259,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.19204990862075413, 'e': 0.18726015763786058}",25,16,-15.834084476787714,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
56,False,"{'a': 0.18637397603941, 'e': 0.18164235290872474}",35,20,8.257315932872412,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
57,False,"{'a': 0.1808657926171221, 'e': 0.176193082321463}",20,0,-74.02187418997245,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
58,False,"{'a': 0.1755204006169969, 'e': 0.1709072898518191}",20,0,9.19958332919251,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
59,False,"{'a': 0.17033298882540945, 'e': 0.16578007115626453}",25,10,-8.916959662320995,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
60,False,"{'a': 0.1652988882215866, 'e': 0.1608066690215766}",25,11,11.650223092474688,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.1604135677751728, 'e': 0.1559824689509293}",35,13,-24.066737607585818,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
62,False,"{'a': 0.15567263036799733, 'e': 0.15130299488240143}",25,13,13.402153990678219,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.1510718088363709, 'e': 0.14676390503592937}",20,1,-79.74305201343303,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 2}",1
64,False,"{'a': 0.14660696213035015, 'e': 0.1423609878848515}",20,5,10.43233925154075,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.1422740715865136, 'e': 0.13809015824830592}",20,14,9.099924771615134,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
