trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9704455335485082, 'e': 0.98}",20,0,-47.21439666741519,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.9417645335842487, 'e': 0.9603999999999999}",25,0,-92.23647290090553,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
3,False,"{'a': 0.9139311852712282, 'e': 0.9411919999999999}",25,0,-115.89212917887502,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
4,False,"{'a': 0.8869204367171575, 'e': 0.9223681599999999}",30,0,-113.99574926479032,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.8607079764250578, 'e': 0.9039207967999999}",20,0,-9.943199734771577,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.835270211411272, 'e': 0.8858423808639999}",20,0,-120.03056329152146,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
7,False,"{'a': 0.8105842459701871, 'e': 0.8681255332467199}",20,0,-98.99949021074949,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.7866278610665535, 'e': 0.8507630225817855}",20,0,-81.75523636105781,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.7633794943368531, 'e': 0.8337477621301498}",30,0,-153.89292484543563,"{0: 18, 1: 7, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.7408182206817179, 'e': 0.8170728068875467}",20,13,-11.646064567717774,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.7189237334319262, 'e': 0.8007313507497958}",20,0,-63.57432797597358,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.6976763260710311, 'e': 0.7847167237347998}",20,1,-131.02621697912798,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 2}",1
13,False,"{'a': 0.6770568744981647, 'e': 0.7690223892601039}",20,0,-179.3210744037542,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
14,False,"{'a': 0.6570468198150567, 'e': 0.7536419414749017}",30,1,-59.9344617492982,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.6376281516217733, 'e': 0.7385691026454038}",20,0,-92.65080028998347,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
16,False,"{'a': 0.6187833918061408, 'e': 0.7237977205924956}",25,14,-48.66821299321707,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
17,False,"{'a': 0.6004955788122659, 'e': 0.7093217661806457}",20,0,-4.946318945245336,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5827482523739896, 'e': 0.6951353308570328}",25,7,21.917577444970732,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5655254386995372, 'e': 0.6812326242398921}",25,0,-146.28098346972249,"{0: 12, 1: 5, 2: 5, 3: 2, 4: 1}",0
20,False,"{'a': 0.5488116360940265, 'e': 0.6676079717550942}",20,7,-59.28566699208685,"{0: 8, 1: 1, 2: 3, 3: 0, 4: 1}",1
21,False,"{'a': 0.5325918010068972, 'e': 0.6542558123199923}",20,12,-5.152665192928291,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
22,False,"{'a': 0.5168513344916993, 'e': 0.6411706960735924}",30,0,-93.718795849052,"{0: 20, 1: 4, 2: 4, 3: 1, 4: 1}",0
23,False,"{'a': 0.5015760690660556, 'e': 0.6283472821521207}",20,0,-102.38809042094546,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
24,False,"{'a': 0.4867522559599717, 'e': 0.6157803365090782}",35,5,-70.02589819669925,"{0: 23, 1: 2, 2: 3, 3: 1, 4: 1}",1
