trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9704455335485082, 'e': 0.9900498337491681}",30,0,-241.25400086727308,"{0: 13, 1: 8, 2: 4, 3: 1, 4: 4}",0
2,False,"{'a': 0.9417645335842487, 'e': 0.9801986733067553}",20,0,-35.418051865765875,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.9139311852712282, 'e': 0.9704455335485082}",20,0,-57.918068305414764,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.8869204367171575, 'e': 0.9607894391523232}",20,0,-86.36199539906423,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
5,False,"{'a': 0.8607079764250578, 'e': 0.951229424500714}",20,0,-161.10978972899434,"{0: 10, 1: 3, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.835270211411272, 'e': 0.9417645335842487}",30,0,-96.49318660911568,"{0: 18, 1: 5, 2: 5, 3: 2, 4: 0}",0
7,False,"{'a': 0.8105842459701871, 'e': 0.9323938199059483}",30,0,-156.2529748341759,"{0: 20, 1: 2, 2: 3, 3: 3, 4: 2}",0
8,False,"{'a': 0.7866278610665535, 'e': 0.9231163463866358}",30,0,-188.6331075738719,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
9,False,"{'a': 0.7633794943368531, 'e': 0.9139311852712282}",25,0,-240.88027027154214,"{0: 11, 1: 3, 2: 6, 3: 1, 4: 4}",0
10,False,"{'a': 0.7408182206817179, 'e': 0.9048374180359596}",30,0,-77.9381311798506,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
11,False,"{'a': 0.7189237334319262, 'e': 0.8958341352965282}",20,0,-75.1324563976861,"{0: 13, 1: 0, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.6976763260710311, 'e': 0.8869204367171575}",20,0,-73.5165926056137,"{0: 10, 1: 6, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.6770568744981647, 'e': 0.8780954309205613}",25,0,-88.21116715127337,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.6570468198150567, 'e': 0.8693582353988059}",20,0,-57.89012274044833,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",1
15,False,"{'a': 0.6376281516217733, 'e': 0.8607079764250578}",20,0,-134.83994381053466,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0
16,False,"{'a': 0.6187833918061408, 'e': 0.8521437889662113}",20,0,-175.59955758428876,"{0: 9, 1: 3, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.6004955788122659, 'e': 0.8436648165963837}",20,0,-77.18178744170464,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5827482523739896, 'e': 0.835270211411272}",20,0,-100.16767992097466,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5655254386995372, 'e': 0.8269591339433623}",30,13,-50.406039879638215,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 0}",1
20,False,"{'a': 0.5488116360940265, 'e': 0.8187307530779818}",20,0,-86.08375167845763,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
