trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.9900498337491681}",20,0,-96.89333310911901,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.9801986733067553}",20,0,-174.93435547828392,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.1, 'e': 0.9704455335485082}",20,12,-37.65186082277632,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
4,False,"{'a': 0.1, 'e': 0.9607894391523232}",30,0,-96.04803414823505,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.951229424500714}",20,0,-57.83926271899013,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.9417645335842487}",25,0,-93.65500896734918,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.9323938199059483}",25,0,-287.8039351169311,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 6}",0
8,False,"{'a': 0.1, 'e': 0.9231163463866358}",20,0,-104.34162629058245,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
9,False,"{'a': 0.1, 'e': 0.9139311852712282}",30,0,-109.93331647649403,"{0: 18, 1: 6, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.9048374180359596}",20,0,-182.91790448171292,"{0: 5, 1: 5, 2: 6, 3: 3, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.8958341352965282}",20,0,-180.1237319011253,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
12,False,"{'a': 0.1, 'e': 0.8869204367171575}",30,0,-212.72084911179257,"{0: 16, 1: 1, 2: 7, 3: 4, 4: 2}",0
13,False,"{'a': 0.1, 'e': 0.8780954309205613}",20,0,-180.74064580293782,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
14,False,"{'a': 0.1, 'e': 0.8693582353988059}",20,3,-75.39638125851927,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 1}",1
15,False,"{'a': 0.1, 'e': 0.8607079764250578}",25,0,-85.56242074766901,"{0: 14, 1: 2, 2: 9, 3: 0, 4: 0}",0
16,False,"{'a': 0.1, 'e': 0.8521437889662113}",35,0,-106.49098753378907,"{0: 25, 1: 5, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.1, 'e': 0.8436648165963837}",20,0,-109.1988766490701,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.1, 'e': 0.835270211411272}",25,0,-129.00313413673854,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.1, 'e': 0.8269591339433623}",20,0,-85.65603790017862,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.1, 'e': 0.8187307530779818}",20,13,-52.208040989910295,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
21,False,"{'a': 0.1, 'e': 0.8105842459701871}",20,0,-88.13336138631455,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.8025187979624785}",30,0,-89.49525792913485,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
23,False,"{'a': 0.1, 'e': 0.794533602503334}",20,0,-144.64878424290237,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
24,False,"{'a': 0.1, 'e': 0.7866278610665535}",30,0,-204.16284874186888,"{0: 12, 1: 6, 2: 9, 3: 1, 4: 2}",0
25,False,"{'a': 0.1, 'e': 0.8}",30,0,-148.95889635065765,"{0: 20, 1: 0, 2: 7, 3: 1, 4: 2}",0
26,False,"{'a': 0.1, 'e': 0.7710515858035663}",30,13,-58.91354997796427,"{0: 12, 1: 2, 2: 1, 3: 1, 4: 1}",1
27,False,"{'a': 0.1, 'e': 0.7633794943368531}",20,6,-78.05089673173822,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 1}",1
28,False,"{'a': 0.1, 'e': 0.7557837414557255}",30,0,-176.94544403397163,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
29,False,"{'a': 0.1, 'e': 0.7482635675785653}",25,0,-147.4301816413252,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 3}",0
30,False,"{'a': 0.1, 'e': 0.7408182206817179}",20,0,-153.48491771924486,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
