trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9704455335485082, 'e': 0.9900498337491681}",25,0,-77.96545596680578,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.9417645335842487, 'e': 0.9801986733067553}",20,0,-56.46354402957183,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
3,False,"{'a': 0.9139311852712282, 'e': 0.9704455335485082}",30,0,-185.43814876754954,"{0: 19, 1: 0, 2: 6, 3: 3, 4: 2}",0
4,False,"{'a': 0.8869204367171575, 'e': 0.9607894391523232}",20,0,-95.73220459962661,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
5,False,"{'a': 0.8607079764250578, 'e': 0.951229424500714}",20,0,-104.21465201340459,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.835270211411272, 'e': 0.9417645335842487}",30,0,-209.06391365756446,"{0: 16, 1: 3, 2: 6, 3: 2, 4: 3}",0
7,False,"{'a': 0.8105842459701871, 'e': 0.9323938199059483}",30,0,-191.35690257772663,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
8,False,"{'a': 0.7866278610665535, 'e': 0.9231163463866358}",30,11,-88.75632716537767,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 2}",1
9,False,"{'a': 0.7633794943368531, 'e': 0.9139311852712282}",20,8,15.458021868440936,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.7408182206817179, 'e': 0.9048374180359596}",30,1,-123.19453553590547,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 1}",1
11,False,"{'a': 0.7189237334319262, 'e': 0.8958341352965282}",25,0,-111.94055652412715,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.6976763260710311, 'e': 0.8869204367171575}",20,0,-126.09624126828142,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.6770568744981647, 'e': 0.8780954309205613}",25,0,-51.0638345599364,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.6570468198150567, 'e': 0.8693582353988059}",30,0,-144.32699471273722,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.6376281516217733, 'e': 0.8607079764250578}",30,0,-163.3366996013544,"{0: 18, 1: 6, 2: 3, 3: 0, 4: 3}",0
16,False,"{'a': 0.6187833918061408, 'e': 0.8521437889662113}",25,0,-96.31284341793565,"{0: 16, 1: 5, 2: 1, 3: 2, 4: 1}",0
17,False,"{'a': 0.6004955788122659, 'e': 0.8436648165963837}",30,0,-123.92885228432232,"{0: 18, 1: 2, 2: 9, 3: 0, 4: 1}",0
18,False,"{'a': 0.5827482523739896, 'e': 0.835270211411272}",25,0,-173.45841019321148,"{0: 12, 1: 6, 2: 2, 3: 3, 4: 2}",0
19,False,"{'a': 0.5655254386995372, 'e': 0.8269591339433623}",25,0,-153.55072469203478,"{0: 11, 1: 8, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5488116360940265, 'e': 0.8187307530779818}",25,0,-83.27698530790505,"{0: 13, 1: 6, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.5325918010068972, 'e': 0.8105842459701871}",25,0,-128.74842822795205,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 3}",0
22,False,"{'a': 0.5168513344916993, 'e': 0.8025187979624785}",25,0,-79.8907086545349,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
23,False,"{'a': 0.5015760690660556, 'e': 0.794533602503334}",20,0,-126.71967021991766,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
24,False,"{'a': 0.4867522559599717, 'e': 0.7866278610665535}",30,0,-109.59014830002106,"{0: 17, 1: 2, 2: 10, 3: 1, 4: 0}",0
25,False,"{'a': 0.47236655274101474, 'e': 0.8}",20,0,-31.46640413384448,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
26,False,"{'a': 0.45840601130522357, 'e': 0.7710515858035663}",20,0,-71.13918213845034,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
27,False,"{'a': 0.44485806622294116, 'e': 0.7633794943368531}",20,0,-15.045478238954475,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
28,False,"{'a': 0.43171052342907973, 'e': 0.7557837414557255}",20,0,-116.70144200009311,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
29,False,"{'a': 0.418951549247639, 'e': 0.7482635675785653}",20,0,-26.083641962534955,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
30,False,"{'a': 0.40656965974059917, 'e': 0.7408182206817179}",35,0,-107.06697882065937,"{0: 26, 1: 2, 2: 4, 3: 2, 4: 1}",0
31,False,"{'a': 0.3945537103716012, 'e': 0.7334469562242892}",30,0,-102.717187168254,"{0: 23, 1: 0, 2: 5, 3: 0, 4: 2}",0
32,False,"{'a': 0.38289288597511206, 'e': 0.7261490370736909}",25,0,-108.96114651943776,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
33,False,"{'a': 0.3715766910220457, 'e': 0.7189237334319262}",20,0,-75.43920890213336,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.3605949401730783, 'e': 0.7117703227626097}",20,0,-2.3214161341285573,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.3499377491111553, 'e': 0.7046880897187134}",20,0,-94.68935800465077,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
36,False,"{'a': 0.33959552564493917, 'e': 0.6976763260710311}",20,0,-14.476853634154478,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
37,False,"{'a': 0.3295589610751891, 'e': 0.6907343306373547}",20,0,-30.037517586816488,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
38,False,"{'a': 0.31981902181630395, 'e': 0.6838614092123558}",25,2,-129.34687689678358,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 2}",1
39,False,"{'a': 0.31036694126548503, 'e': 0.6770568744981647}",25,0,-24.2877153818352,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
40,False,"{'a': 0.30119421191220214, 'e': 0.6703200460356393}",20,0,-75.63891981826055,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
41,False,"{'a': 0.2922925776808594, 'e': 0.6636502501363194}",20,0,-45.141023815095586,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
42,False,"{'a': 0.2836540264997704, 'e': 0.6570468198150567}",25,0,-118.64469965560777,"{0: 13, 1: 4, 2: 5, 3: 3, 4: 0}",0
43,False,"{'a': 0.27527078308975234, 'e': 0.6505090947233165}",20,0,-52.321015779842156,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
