trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9801986733067553}",20,0,-126.10294215832269,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9607894391523232}",30,0,-200.90153939073275,"{0: 14, 1: 3, 2: 8, 3: 4, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.9417645335842487}",20,0,-118.71977512240453,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9231163463866358}",20,0,-42.97527179929785,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9048374180359596}",20,0,-100.45630664882732,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,0,-261.3328870282994,"{0: 10, 1: 3, 2: 6, 3: 2, 4: 4}",0
7,False,"{'a': 0.01, 'e': 0.8693582353988059}",20,0,-25.85162421911931,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
8,False,"{'a': 0.01, 'e': 0.8521437889662113}",20,0,-57.03605142464687,"{0: 10, 1: 6, 2: 4, 3: 0, 4: 0}",0
9,False,"{'a': 0.01, 'e': 0.835270211411272}",25,0,-91.79773467275326,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
10,False,"{'a': 0.01, 'e': 0.8187307530779818}",20,0,-82.91969492928439,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.8025187979624785}",20,0,-146.7007619435064,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.01, 'e': 0.7866278610665535}",30,0,-82.59676424535193,"{0: 19, 1: 7, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.7710515858035663}",30,15,-91.99170702500399,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 1}",1
