trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9704455335485082, 'e': 0.9801986733067553}",20,0,-138.5377920782112,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
2,False,"{'a': 0.9417645335842487, 'e': 0.9607894391523232}",20,0,-115.49019470018108,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
3,False,"{'a': 0.9139311852712282, 'e': 0.9417645335842487}",30,0,-162.9539421576312,"{0: 16, 1: 3, 2: 8, 3: 2, 4: 1}",0
4,False,"{'a': 0.8869204367171575, 'e': 0.9231163463866358}",25,0,-96.92346051892636,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
5,False,"{'a': 0.8607079764250578, 'e': 0.9048374180359596}",25,0,-126.15025731350009,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.835270211411272, 'e': 0.8869204367171575}",20,0,-12.446824985514802,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.8105842459701871, 'e': 0.8693582353988059}",25,0,-39.955318968015575,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.7866278610665535, 'e': 0.8521437889662113}",20,0,-60.913976856881945,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.7633794943368531, 'e': 0.835270211411272}",30,12,-65.70491752754603,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 2}",1
10,False,"{'a': 0.7408182206817179, 'e': 0.8187307530779818}",25,0,-115.77056455618754,"{0: 15, 1: 0, 2: 9, 3: 0, 4: 1}",0
11,False,"{'a': 0.7189237334319262, 'e': 0.8025187979624785}",20,0,-37.23096702420778,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.6976763260710311, 'e': 0.7866278610665535}",20,0,-156.80284630681192,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
13,False,"{'a': 0.6770568744981647, 'e': 0.7710515858035663}",20,0,-59.24590137183096,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.6570468198150567, 'e': 0.7557837414557255}",30,0,-74.07837141468185,"{0: 21, 1: 2, 2: 5, 3: 2, 4: 0}",0
15,False,"{'a': 0.6376281516217733, 'e': 0.7408182206817179}",25,0,-80.70318334980418,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.6187833918061408, 'e': 0.7261490370736909}",20,0,-90.36435144928174,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.6004955788122659, 'e': 0.7117703227626097}",20,0,-161.76317609786815,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
18,False,"{'a': 0.5827482523739896, 'e': 0.6976763260710311}",20,9,-23.35028758438682,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5655254386995372, 'e': 0.6838614092123558}",20,0,-122.77438822242912,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5488116360940265, 'e': 0.6703200460356393}",25,0,-76.70897341924338,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
