trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9704455335485082, 'e': 0.9801986733067553}",25,0,-53.39185074448544,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.9417645335842487, 'e': 0.9607894391523232}",35,0,-43.38017863861031,"{0: 28, 1: 5, 2: 1, 3: 0, 4: 1}",0
3,False,"{'a': 0.9139311852712282, 'e': 0.9417645335842487}",30,0,-94.03589633705937,"{0: 19, 1: 1, 2: 9, 3: 1, 4: 0}",0
4,False,"{'a': 0.8869204367171575, 'e': 0.9231163463866358}",25,0,-160.1711221845867,"{0: 13, 1: 1, 2: 7, 3: 3, 4: 1}",0
5,False,"{'a': 0.8607079764250578, 'e': 0.9048374180359596}",30,0,-75.3853876494597,"{0: 20, 1: 2, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.835270211411272, 'e': 0.8869204367171575}",25,0,-56.6646219388348,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.8105842459701871, 'e': 0.8693582353988059}",20,0,-30.134885107480407,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
8,False,"{'a': 0.7866278610665535, 'e': 0.8521437889662113}",20,0,-28.47775947194221,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.7633794943368531, 'e': 0.835270211411272}",25,11,-74.17183002221287,"{0: 9, 1: 0, 2: 3, 3: 1, 4: 1}",1
10,False,"{'a': 0.7408182206817179, 'e': 0.8187307530779818}",20,0,-154.24337458685403,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.7189237334319262, 'e': 0.8025187979624785}",30,0,-206.25720636743029,"{0: 15, 1: 4, 2: 6, 3: 3, 4: 2}",0
12,False,"{'a': 0.6976763260710311, 'e': 0.7866278610665535}",25,14,-115.6096203780096,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 3}",1
13,False,"{'a': 0.6770568744981647, 'e': 0.7710515858035663}",25,0,-140.81267042508424,"{0: 16, 1: 2, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.6570468198150567, 'e': 0.7557837414557255}",25,0,-137.39477510828317,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.6376281516217733, 'e': 0.7408182206817179}",25,7,-87.55477590719758,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 1}",1
16,False,"{'a': 0.6187833918061408, 'e': 0.7261490370736909}",20,0,-121.62485703340364,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
17,False,"{'a': 0.6004955788122659, 'e': 0.7117703227626097}",30,0,-194.81081770472474,"{0: 16, 1: 3, 2: 6, 3: 3, 4: 2}",0
18,False,"{'a': 0.5827482523739896, 'e': 0.6976763260710311}",30,0,-154.3577472948554,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",0
19,False,"{'a': 0.5655254386995372, 'e': 0.6838614092123558}",20,0,-148.12837043845337,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
20,False,"{'a': 0.5488116360940265, 'e': 0.6703200460356393}",20,0,-43.16927616613131,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.5325918010068972, 'e': 0.6570468198150567}",20,3,-50.135340237458784,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 1}",1
22,False,"{'a': 0.5168513344916993, 'e': 0.6440364210831414}",20,4,-108.81438702519685,"{0: 8, 1: 4, 2: 2, 3: 0, 4: 2}",1
23,False,"{'a': 0.5015760690660556, 'e': 0.631283645506926}",30,0,-38.74912746895706,"{0: 24, 1: 2, 2: 2, 3: 2, 4: 0}",0
24,False,"{'a': 0.4867522559599717, 'e': 0.6187833918061408}",30,9,-52.4691375781512,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 1}",1
25,False,"{'a': 0.47236655274101474, 'e': 0.6065306597126334}",30,0,-218.31749736114926,"{0: 16, 1: 6, 2: 4, 3: 0, 4: 4}",0
26,False,"{'a': 0.45840601130522357, 'e': 0.5945205479701944}",20,0,-81.94760751861344,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
27,False,"{'a': 0.44485806622294116, 'e': 0.5827482523739896}",30,9,-73.56516326858937,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 1}",1
28,False,"{'a': 0.43171052342907973, 'e': 0.5712090638488149}",25,0,-54.726729357354344,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
29,False,"{'a': 0.418951549247639, 'e': 0.559898366565402}",25,0,-81.84216605787563,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.40656965974059917, 'e': 0.5488116360940265}",20,0,-69.6358746012146,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
