trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 1.0}",25,0,-129.8383004098422,"{0: 12, 1: 1, 2: 10, 3: 2, 4: 0}",0
2,False,"{'a': 0.05, 'e': 0.5}",35,0,-185.7942280092245,"{0: 15, 1: 9, 2: 9, 3: 1, 4: 1}",0
3,False,"{'a': 0.05, 'e': 0.3333333333333333}",20,0,-74.8742088541798,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.05, 'e': 0.25}",20,0,-122.12183680812741,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
5,False,"{'a': 0.05, 'e': 0.2}",20,0,-31.755536258933528,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
6,False,"{'a': 0.05, 'e': 0.16666666666666666}",25,0,-154.13122043650498,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 4}",0
7,False,"{'a': 0.05, 'e': 0.14285714285714285}",20,0,-65.94424651093783,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.05, 'e': 0.125}",20,3,9.542014500960184,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.05, 'e': 0.1111111111111111}",30,0,-45.61398296227026,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.05, 'e': 0.1}",20,0,1.2571718753212098,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
11,False,"{'a': 0.05, 'e': 0.09090909090909091}",25,0,24.38127141559252,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.05, 'e': 0.08333333333333333}",25,0,-165.96526475677337,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 4}",0
13,False,"{'a': 0.05, 'e': 0.07692307692307693}",25,0,-8.00074117663566,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
14,False,"{'a': 0.05, 'e': 0.07142857142857142}",30,4,-14.280057213995786,"{0: 22, 1: 1, 2: 2, 3: 1, 4: 0}",1
15,False,"{'a': 0.05, 'e': 0.06666666666666667}",20,0,-29.24521828728073,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.05, 'e': 0.0625}",25,0,-89.51024378185615,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.05, 'e': 0.058823529411764705}",25,0,-24.725916296599422,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
18,False,"{'a': 0.05, 'e': 0.05555555555555555}",25,0,-55.94781935006879,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
19,False,"{'a': 0.05, 'e': 0.05263157894736842}",20,0,-56.41700419733342,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
20,False,"{'a': 0.05, 'e': 0.05}",20,8,3.424941184594734,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.05, 'e': 0.047619047619047616}",30,0,-98.70810188768957,"{0: 25, 1: 2, 2: 0, 3: 0, 4: 3}",0
22,False,"{'a': 0.05, 'e': 0.045454545454545456}",30,0,-35.78539088342072,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
23,False,"{'a': 0.05, 'e': 0.043478260869565216}",20,9,-4.39501223574348,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
