trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9704455335485082, 'e': 1.0}",25,0,-239.052804279376,"{0: 10, 1: 4, 2: 7, 3: 0, 4: 4}",0
2,False,"{'a': 0.9417645335842487, 'e': 0.5}",20,0,-41.30379019033642,"{0: 15, 1: 2, 2: 1, 3: 2, 4: 0}",0
3,False,"{'a': 0.9139311852712282, 'e': 0.3333333333333333}",20,0,-120.61347157784819,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
4,False,"{'a': 0.8869204367171575, 'e': 0.25}",25,10,-66.03257504986124,"{0: 12, 1: 0, 2: 0, 3: 2, 4: 1}",1
5,False,"{'a': 0.8607079764250578, 'e': 0.2}",25,0,-110.02907118571477,"{0: 17, 1: 2, 2: 2, 3: 3, 4: 1}",0
6,False,"{'a': 0.835270211411272, 'e': 0.16666666666666666}",25,0,-78.97652786955817,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.8105842459701871, 'e': 0.14285714285714285}",20,4,-28.19256505947285,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.7866278610665535, 'e': 0.125}",25,0,-62.37513041402496,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.7633794943368531, 'e': 0.1111111111111111}",30,0,-31.483242402985425,"{0: 25, 1: 1, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.7408182206817179, 'e': 0.1}",25,16,5.108360524128525,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.7189237334319262, 'e': 0.09090909090909091}",20,0,11.400347219042642,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.6976763260710311, 'e': 0.08333333333333333}",35,0,-134.59921025983627,"{0: 26, 1: 1, 2: 3, 3: 3, 4: 2}",0
13,False,"{'a': 0.6770568744981647, 'e': 0.07692307692307693}",25,0,-114.87945055183776,"{0: 19, 1: 1, 2: 1, 3: 2, 4: 2}",0
14,False,"{'a': 0.6570468198150567, 'e': 0.07142857142857142}",30,0,-44.450998575097124,"{0: 27, 1: 0, 2: 0, 3: 2, 4: 1}",0
15,False,"{'a': 0.6376281516217733, 'e': 0.06666666666666667}",20,0,-52.776392330046235,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
