trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9704455335485082, 'e': 1.0}",25,2,-46.76092408258221,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 0}",1
2,False,"{'a': 0.9417645335842487, 'e': 0.5}",30,20,-64.72811249743656,"{0: 6, 1: 1, 2: 1, 3: 1, 4: 1}",1
3,False,"{'a': 0.9139311852712282, 'e': 0.3333333333333333}",30,0,-170.7175649244016,"{0: 19, 1: 2, 2: 6, 3: 0, 4: 3}",0
4,False,"{'a': 0.8869204367171575, 'e': 0.25}",25,18,-39.707985438596694,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
5,False,"{'a': 0.8607079764250578, 'e': 0.2}",20,0,-62.006494651882676,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
6,False,"{'a': 0.835270211411272, 'e': 0.16666666666666666}",30,5,-8.946575396490136,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.8105842459701871, 'e': 0.14285714285714285}",20,0,-86.5491773532412,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.7866278610665535, 'e': 0.125}",25,0,-161.24969206796416,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
9,False,"{'a': 0.7633794943368531, 'e': 0.1111111111111111}",20,0,-84.16797930054707,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.7408182206817179, 'e': 0.1}",20,14,-42.07881205606219,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 1}",1
11,False,"{'a': 0.7189237334319262, 'e': 0.09090909090909091}",20,0,-63.23674170689324,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
12,False,"{'a': 0.6976763260710311, 'e': 0.08333333333333333}",25,7,-146.8585656525439,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 3}",1
13,False,"{'a': 0.6770568744981647, 'e': 0.07692307692307693}",25,17,8.691053063281378,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
