trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-307.1439360011158,"{0: 14, 1: 6, 2: 2, 3: 2, 4: 6}",0
2,False,"{'a': 0.5, 'e': 0.5}",25,0,-149.29725061166607,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.3333333333333333}",25,0,-37.54154203541793,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.25}",25,0,-33.57396900961627,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.2}",25,0,-118.51311661310075,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.16666666666666666}",25,0,-7.446426213441424,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.14285714285714285}",20,0,-56.48146126536814,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.125}",25,0,-55.525544250195566,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.1111111111111111}",25,0,-32.23966031163914,"{0: 21, 1: 3, 2: 0, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.1}",25,0,6.5327156774924315,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.09090909090909091}",20,0,-93.91942032890645,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.08333333333333333}",25,0,15.647711483428651,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.07692307692307693}",30,11,9.363041568187493,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.07142857142857142}",25,12,10.685733213413435,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.06666666666666667}",30,14,26.00435617103861,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.0625}",20,0,-39.91198968713469,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.058823529411764705}",20,0,-26.53289880729301,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.05555555555555555}",25,17,-8.296303689496654,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.05263157894736842}",20,6,-44.77718088343234,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.05}",20,0,-40.75250238794518,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.047619047619047616}",20,0,-58.21403133925034,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.045454545454545456}",25,0,10.833127922274745,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.043478260869565216}",20,0,-18.400575206932903,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.041666666666666664}",20,1,-17.14471193505918,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.5, 'e': 0.04}",20,0,-19.595017282042985,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.038461538461538464}",20,0,-18.690052759843685,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.037037037037037035}",20,0,-1.616860596043403,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.03571428571428571}",20,0,-33.3240938857529,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.034482758620689655}",20,3,-13.606136792883353,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
30,False,"{'a': 0.5, 'e': 0.03333333333333333}",20,0,-50.09942350394152,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.03225806451612903}",30,0,-38.420866067710925,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.03125}",20,0,-147.54662565465463,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.030303030303030304}",30,15,-37.07713986701782,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
34,False,"{'a': 0.5, 'e': 0.029411764705882353}",25,1,-65.18815274667197,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 2}",1
35,False,"{'a': 0.5, 'e': 0.02857142857142857}",30,0,-67.26704965622166,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.027777777777777776}",35,14,-67.30058527623954,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 2}",1
37,False,"{'a': 0.5, 'e': 0.02702702702702703}",20,15,3.4237873216192263,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.02631578947368421}",20,0,-69.32709827866621,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.02564102564102564}",20,0,28.683822801025222,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.025}",30,14,6.113881470748735,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.024390243902439025}",20,0,-23.3605201348537,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.023809523809523808}",20,13,16.213687227136877,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.023255813953488372}",25,6,-13.310842650117126,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
44,False,"{'a': 0.5, 'e': 0.022727272727272728}",20,0,17.2569392319682,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.022222222222222223}",20,0,24.2251240967087,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.021739130434782608}",20,0,-37.57317346122832,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.02127659574468085}",20,0,-4.615469309373007,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.020833333333333332}",25,0,19.50603628924641,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.02040816326530612}",25,2,-18.873495392906754,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.5, 'e': 0.02}",20,3,-17.85587787790314,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
51,False,"{'a': 0.5, 'e': 0.0196078431372549}",20,11,16.080497840928086,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.5, 'e': 0.019230769230769232}",20,0,22.26633542338751,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.018867924528301886}",30,22,14.5325445398605,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.018518518518518517}",25,0,-33.0586545672008,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.01818181818181818}",30,0,10.265730096802166,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.017857142857142856}",20,0,5.424019491583888,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.017543859649122806}",20,0,-1.2119833710079655,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.017241379310344827}",30,0,-40.01132199049578,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.01694915254237288}",20,0,-13.903432181985046,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
60,False,"{'a': 0.5, 'e': 0.016666666666666666}",20,0,21.07601479408636,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.01639344262295082}",20,5,12.601736057801864,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.016129032258064516}",20,0,18.074902193227295,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.015873015873015872}",25,2,29.374500348399096,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.015625}",20,0,-29.796771045678298,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
65,False,"{'a': 0.5, 'e': 0.015384615384615385}",20,6,21.466281343050174,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.015151515151515152}",25,11,16.094192756790267,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.014925373134328358}",25,0,-48.88150157806988,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
68,False,"{'a': 0.5, 'e': 0.014705882352941176}",20,12,12.884187221777665,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.014492753623188406}",30,10,32.286480831914986,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.014285714285714285}",20,0,17.0619656304254,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.014084507042253521}",30,1,16.669065966426942,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.013888888888888888}",20,0,13.267389712159819,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.0136986301369863}",30,0,38.27771206876526,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.013513513513513514}",20,0,27.069447040243382,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.013333333333333334}",20,0,14.578978981154215,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.013157894736842105}",20,1,22.61816390555709,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.012987012987012988}",20,0,21.110095906047384,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.01282051282051282}",20,0,2.099518253685196,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.012658227848101266}",25,0,7.693356634976797,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.0125}",20,0,-12.276840374379876,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.012345679012345678}",25,5,22.520537779533676,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.012195121951219513}",25,0,32.42773041431166,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.012048192771084338}",30,20,-19.048286014236982,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.011904761904761904}",30,18,16.355741045477462,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
