trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9704455335485082, 'e': 1.0}",20,0,-113.6773660844886,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 1}",0
2,False,"{'a': 0.9417645335842487, 'e': 0.5}",20,5,-29.615701927851923,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,False,"{'a': 0.9139311852712282, 'e': 0.3333333333333333}",30,0,-63.24890160013189,"{0: 20, 1: 3, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.8869204367171575, 'e': 0.25}",25,0,-127.16441449704948,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
5,False,"{'a': 0.8607079764250578, 'e': 0.2}",25,0,-74.65597233754069,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.835270211411272, 'e': 0.16666666666666666}",25,0,-123.65477690074476,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
7,False,"{'a': 0.8105842459701871, 'e': 0.14285714285714285}",25,6,-33.046498556792,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.7866278610665535, 'e': 0.125}",25,0,-94.58449365328347,"{0: 19, 1: 3, 2: 0, 3: 1, 4: 2}",0
9,False,"{'a': 0.7633794943368531, 'e': 0.1111111111111111}",20,15,-5.215578357168924,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.7408182206817179, 'e': 0.1}",20,0,-38.917926729333395,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
11,False,"{'a': 0.7189237334319262, 'e': 0.09090909090909091}",25,0,1.3946394788751604,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.6976763260710311, 'e': 0.08333333333333333}",20,0,-28.631278653360752,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.6770568744981647, 'e': 0.07692307692307693}",25,0,6.975385638142556,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.6570468198150567, 'e': 0.07142857142857142}",25,0,-69.27153566872379,"{0: 20, 1: 1, 2: 1, 3: 2, 4: 1}",1
15,False,"{'a': 0.6376281516217733, 'e': 0.06666666666666667}",25,0,-60.99697082761038,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.6187833918061408, 'e': 0.0625}",30,0,-74.95114301593394,"{0: 26, 1: 1, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.6004955788122659, 'e': 0.058823529411764705}",25,0,-72.55097767643466,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.5827482523739896, 'e': 0.05555555555555555}",20,0,-13.315239421284751,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.5655254386995372, 'e': 0.05263157894736842}",25,4,-10.954906447607101,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 0}",1
20,False,"{'a': 0.5488116360940265, 'e': 0.05}",20,0,26.331815822309597,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5325918010068972, 'e': 0.047619047619047616}",20,4,11.704138691592771,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5168513344916993, 'e': 0.045454545454545456}",20,16,8.02536846039669,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5015760690660556, 'e': 0.043478260869565216}",20,0,-42.81535763888924,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
24,False,"{'a': 0.4867522559599717, 'e': 0.041666666666666664}",20,0,-35.254955085206994,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
25,False,"{'a': 0.8, 'e': 0.04}",25,0,3.083109708301396,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
