trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9704455335485082, 'e': 1.0}",30,0,-132.3393358612521,"{0: 17, 1: 7, 2: 2, 3: 3, 4: 1}",0
2,False,"{'a': 0.9417645335842487, 'e': 0.5}",30,21,10.297483135341727,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.9139311852712282, 'e': 0.3333333333333333}",20,0,-81.60605411943024,"{0: 12, 1: 1, 2: 5, 3: 2, 4: 0}",0
4,False,"{'a': 0.8869204367171575, 'e': 0.25}",20,0,-46.18583174599526,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.8607079764250578, 'e': 0.2}",25,0,-53.21885724875424,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.835270211411272, 'e': 0.16666666666666666}",20,0,-6.536929039942889,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
7,False,"{'a': 0.8105842459701871, 'e': 0.14285714285714285}",25,0,-130.05352875983496,"{0: 17, 1: 4, 2: 1, 3: 0, 4: 3}",0
8,False,"{'a': 0.7866278610665535, 'e': 0.125}",25,0,-187.15478174621418,"{0: 15, 1: 3, 2: 1, 3: 3, 4: 3}",0
9,False,"{'a': 0.7633794943368531, 'e': 0.1111111111111111}",20,0,-15.789448867184287,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.7408182206817179, 'e': 0.1}",20,0,-80.99887785667987,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.7189237334319262, 'e': 0.09090909090909091}",25,0,4.977369049040041,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.6976763260710311, 'e': 0.08333333333333333}",20,8,-0.32841539810579556,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.6770568744981647, 'e': 0.07692307692307693}",25,0,-112.36898562300422,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
14,False,"{'a': 0.6570468198150567, 'e': 0.07142857142857142}",30,0,-36.06286917244919,"{0: 25, 1: 0, 2: 3, 3: 2, 4: 0}",0
15,False,"{'a': 0.6376281516217733, 'e': 0.06666666666666667}",35,11,-21.133841408474645,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.6187833918061408, 'e': 0.0625}",30,0,16.72156667210642,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
17,False,"{'a': 0.6004955788122659, 'e': 0.058823529411764705}",20,0,-22.827560919218882,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5827482523739896, 'e': 0.05555555555555555}",25,17,7.12026079432396,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5655254386995372, 'e': 0.05263157894736842}",20,0,-42.089321602491076,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.5488116360940265, 'e': 0.05}",35,7,-42.712082050471665,"{0: 24, 1: 1, 2: 1, 3: 1, 4: 1}",1
21,False,"{'a': 0.5325918010068972, 'e': 0.047619047619047616}",20,0,-99.66112119081522,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
22,False,"{'a': 0.5168513344916993, 'e': 0.045454545454545456}",20,16,6.259581663326487,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5015760690660556, 'e': 0.043478260869565216}",30,12,-42.2560940793413,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
24,False,"{'a': 0.4867522559599717, 'e': 0.041666666666666664}",25,0,-8.458701887834462,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.47236655274101474, 'e': 0.04}",20,0,18.023128487800346,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.45840601130522357, 'e': 0.038461538461538464}",25,17,1.1874856377488883,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.44485806622294116, 'e': 0.037037037037037035}",25,0,-27.918275991593063,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
28,False,"{'a': 0.43171052342907973, 'e': 0.03571428571428571}",30,0,2.1869300703357655,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
29,False,"{'a': 0.418951549247639, 'e': 0.034482758620689655}",20,0,30.466729070458648,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.40656965974059917, 'e': 0.03333333333333333}",30,4,-4.053837667240179,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
31,False,"{'a': 0.3945537103716012, 'e': 0.03225806451612903}",20,0,11.49299510242861,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.38289288597511206, 'e': 0.03125}",30,0,-32.34948722997985,"{0: 26, 1: 3, 2: 0, 3: 0, 4: 1}",0
33,False,"{'a': 0.3715766910220457, 'e': 0.030303030303030304}",25,8,-34.85573670134178,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 1}",1
34,False,"{'a': 0.3605949401730783, 'e': 0.029411764705882353}",25,0,31.819516686960082,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.3499377491111553, 'e': 0.02857142857142857}",20,5,-100.84759147891982,"{0: 11, 1: 0, 2: 0, 3: 2, 4: 2}",1
36,False,"{'a': 0.33959552564493917, 'e': 0.027777777777777776}",30,9,3.215820783301928,"{0: 19, 1: 1, 2: 0, 3: 1, 4: 0}",1
37,False,"{'a': 0.3295589610751891, 'e': 0.02702702702702703}",30,16,20.44223428464315,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.31981902181630395, 'e': 0.02631578947368421}",25,18,9.756102371847893,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.31036694126548503, 'e': 0.02564102564102564}",30,8,3.865629480967157,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
40,False,"{'a': 0.30119421191220214, 'e': 0.025}",20,5,23.45850362687376,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.2922925776808594, 'e': 0.024390243902439025}",30,0,18.98804481624056,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
42,False,"{'a': 0.2836540264997704, 'e': 0.023809523809523808}",20,6,11.869149028758747,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.27527078308975234, 'e': 0.023255813953488372}",20,0,9.94483411365251,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.26713530196585045, 'e': 0.022727272727272728}",20,0,24.319452617939525,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.25924026064589156, 'e': 0.022222222222222223}",25,0,22.961436741017533,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
46,False,"{'a': 0.25157855305975657, 'e': 0.021739130434782608}",20,8,0.5272527911635982,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
47,False,"{'a': 0.2441432831534371, 'e': 0.02127659574468085}",25,2,-54.276840253708805,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 2}",1
48,False,"{'a': 0.2369277586821218, 'e': 0.020833333333333332}",20,16,7.471445362782415,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.22992548518672387, 'e': 0.02040816326530612}",20,0,21.516553915927894,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.22313016014842985, 'e': 0.02}",20,0,28.031272717297536,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.21653566731600707, 'e': 0.0196078431372549}",35,4,-5.970802342779404,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.21013607120076475, 'e': 0.019230769230769232}",20,4,12.816382881420886,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.20392561173421347, 'e': 0.018867924528301886}",20,11,15.340496931446742,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.1978986990836147, 'e': 0.018518518518518517}",30,4,-18.483125653055,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.19204990862075413, 'e': 0.01818181818181818}",25,18,-53.38514499792073,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 1}",1
56,False,"{'a': 0.18637397603941, 'e': 0.017857142857142856}",25,0,24.367465903888256,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.1808657926171221, 'e': 0.017543859649122806}",20,0,30.30531687698453,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.1755204006169969, 'e': 0.017241379310344827}",20,0,23.38933038894475,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.17033298882540945, 'e': 0.01694915254237288}",25,13,21.320945725954946,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.1652988882215866, 'e': 0.016666666666666666}",25,15,19.55369415284646,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.1604135677751728, 'e': 0.01639344262295082}",20,0,-59.226756229862396,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
62,False,"{'a': 0.15567263036799733, 'e': 0.016129032258064516}",25,0,28.31709091813685,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.1510718088363709, 'e': 0.015873015873015872}",25,0,6.934412170206766,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
64,False,"{'a': 0.14660696213035015, 'e': 0.015625}",25,0,29.971115291738236,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.1422740715865136, 'e': 0.015384615384615385}",30,10,21.58499498491396,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.13806923731089282, 'e': 0.015151515151515152}",20,0,16.20317078797562,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
67,False,"{'a': 0.133988674668805, 'e': 0.014925373134328358}",25,0,-61.10520546896026,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
68,False,"{'a': 0.13002871087842593, 'e': 0.014705882352941176}",25,15,20.999346010576254,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
69,False,"{'a': 0.12618578170503877, 'e': 0.014492753623188406}",35,7,-5.635821306958393,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.12245642825298192, 'e': 0.014285714285714285}",20,11,0.3890744934972208,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.11883729385240967, 'e': 0.014084507042253521}",25,16,15.902420330332887,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.11532512103806253, 'e': 0.013888888888888888}",20,0,-41.99934957525253,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
73,False,"{'a': 0.11191674861732889, 'e': 0.0136986301369863}",20,1,13.192436801604973,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.10860910882495803, 'e': 0.013513513513513514}",25,0,-3.3073198535292123,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
