trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.05, 'e': 1.0}",20,0,-112.83112047236193,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.05, 'e': 0.25}",20,0,-197.7231515412154,"{0: 9, 1: 1, 2: 6, 3: 1, 4: 3}",0
3,False,"{'a': 0.05, 'e': 0.1111111111111111}",20,8,-15.124622926750265,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
4,False,"{'a': 0.05, 'e': 0.0625}",20,0,-102.41175956123266,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.05, 'e': 0.04}",25,0,-125.90536579486067,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.05, 'e': 0.027777777777777776}",20,8,7.807067648843256,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.05, 'e': 0.02040816326530612}",20,0,-64.340699569096,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.05, 'e': 0.015625}",20,10,-21.841820122382206,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 0.05, 'e': 0.012345679012345678}",25,0,-55.00929731380705,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.05, 'e': 0.01}",30,13,-63.14827159452766,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
11,False,"{'a': 0.05, 'e': 0.008264462809917356}",25,0,0.005588265071130527,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.05, 'e': 0.006944444444444444}",25,3,4.59206145139647,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.05, 'e': 0.005917159763313609}",30,0,-122.73982280686104,"{0: 23, 1: 0, 2: 3, 3: 2, 4: 2}",0
14,False,"{'a': 0.05, 'e': 0.00510204081632653}",25,0,-93.74390294298594,"{0: 20, 1: 2, 2: 0, 3: 1, 4: 2}",0
15,False,"{'a': 0.05, 'e': 0.0044444444444444444}",20,0,-17.395713033978623,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.05, 'e': 0.00390625}",20,12,5.3526184951809,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.05, 'e': 0.0034602076124567475}",20,4,-48.8668104229016,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.05, 'e': 0.0030864197530864196}",25,0,-81.34580101792508,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.05, 'e': 0.002770083102493075}",25,7,22.75643661644583,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.05, 'e': 0.0025}",30,0,-37.7242098211006,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
21,False,"{'a': 0.05, 'e': 0.0022675736961451248}",25,0,-48.985229093659186,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
22,False,"{'a': 0.05, 'e': 0.002066115702479339}",20,8,12.357766365501046,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
23,False,"{'a': 0.05, 'e': 0.001890359168241966}",20,0,-11.579863780575112,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
24,False,"{'a': 0.05, 'e': 0.001736111111111111}",30,0,22.09405206998359,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
25,False,"{'a': 0.05, 'e': 0.0016}",20,0,25.987471943262626,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.05, 'e': 0.0014792899408284023}",20,0,-22.99164496322988,"{0: 17, 1: 1, 2: 0, 3: 2, 4: 0}",0
27,False,"{'a': 0.05, 'e': 0.0013717421124828531}",20,0,-39.22849393401662,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
28,False,"{'a': 0.05, 'e': 0.0012755102040816326}",20,13,-1.3311026049700239,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
29,False,"{'a': 0.05, 'e': 0.0011890606420927466}",25,0,-15.566659723858699,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
30,False,"{'a': 0.05, 'e': 0.0011111111111111111}",30,0,-71.0360151990034,"{0: 27, 1: 0, 2: 0, 3: 1, 4: 2}",0
31,False,"{'a': 0.05, 'e': 0.001040582726326743}",25,0,-67.7318482448201,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
32,False,"{'a': 0.05, 'e': 0.0009765625}",20,0,-23.11248567139289,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
33,False,"{'a': 0.05, 'e': 0.0009182736455463728}",25,11,20.351059698092392,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.05, 'e': 0.0008650519031141869}",25,10,22.893024695306114,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.05, 'e': 0.0008163265306122449}",20,0,9.050878219389915,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
36,False,"{'a': 0.05, 'e': 0.0007716049382716049}",20,0,-1.640325176929342,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
37,False,"{'a': 0.05, 'e': 0.0007304601899196494}",20,0,29.69550083704117,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.05, 'e': 0.0006925207756232687}",20,0,-14.639953607590817,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
39,False,"{'a': 0.05, 'e': 0.0006574621959237344}",20,0,-111.73509745801286,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
40,False,"{'a': 0.05, 'e': 0.000625}",20,0,-84.2928681415899,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
41,False,"{'a': 0.05, 'e': 0.000594883997620464}",25,0,32.777470774201234,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.05, 'e': 0.0005668934240362812}",20,0,8.507267355194353,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
43,False,"{'a': 0.05, 'e': 0.0005408328826392645}",30,0,20.5514974249062,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
44,False,"{'a': 0.05, 'e': 0.0005165289256198347}",25,17,2.450724579363546,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
45,False,"{'a': 0.05, 'e': 0.0004938271604938272}",20,0,-58.80816560976022,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
46,False,"{'a': 0.05, 'e': 0.0004725897920604915}",20,0,-63.74866277569304,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",1
47,False,"{'a': 0.05, 'e': 0.0004526935264825713}",30,14,-23.840671371434425,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.05, 'e': 0.00043402777777777775}",25,14,-0.4536820451939154,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
49,False,"{'a': 0.05, 'e': 0.00041649312786339027}",25,7,-8.620158909948955,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
50,False,"{'a': 0.05, 'e': 0.0004}",20,0,-19.381325142614177,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
51,False,"{'a': 0.05, 'e': 0.00038446751249519417}",20,1,-31.86183628321006,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.05, 'e': 0.0003698224852071006}",25,15,-23.863853437074866,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
53,False,"{'a': 0.05, 'e': 0.000355998576005696}",20,6,20.444045443155776,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.05, 'e': 0.0003429355281207133}",20,1,-29.791855288510714,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
55,False,"{'a': 0.05, 'e': 0.00033057851239669424}",25,0,-57.292379044334425,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
56,False,"{'a': 0.05, 'e': 0.00031887755102040814}",25,0,6.282738821774359,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.05, 'e': 0.0003077870113881194}",25,10,22.431430857514986,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.05, 'e': 0.00029726516052318666}",30,0,1.577753830099951,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
59,False,"{'a': 0.05, 'e': 0.0002872737719046251}",20,8,20.169105384530457,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.05, 'e': 0.0002777777777777778}",20,0,26.525437602101153,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.05, 'e': 0.0002687449610319806}",35,13,23.510374273169862,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.05, 'e': 0.00026014568158168577}",20,0,-45.51633626124307,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
63,False,"{'a': 0.05, 'e': 0.0002519526329050139}",25,0,14.974391585838564,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
64,False,"{'a': 0.05, 'e': 0.000244140625}",30,17,16.55813236209283,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.05, 'e': 0.00023668639053254438}",30,6,7.787568729987691,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.05, 'e': 0.0002295684113865932}",25,9,20.991499904597685,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.05, 'e': 0.00022276676319893073}",20,0,1.557917352089045,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
68,False,"{'a': 0.05, 'e': 0.00021626297577854672}",25,0,-5.6540038873006795,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
69,False,"{'a': 0.05, 'e': 0.00021003990758244065}",20,3,15.003371515992423,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
70,False,"{'a': 0.05, 'e': 0.00020408163265306123}",20,0,28.556501363002717,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.05, 'e': 0.00019837333862328903}",35,0,34.17688762008256,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.05, 'e': 0.00019290123456790122}",20,0,22.960574697022366,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.05, 'e': 0.00018765246762994934}",25,0,-36.28571796735975,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
74,False,"{'a': 0.05, 'e': 0.00018261504747991235}",20,2,18.407973364996455,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.05, 'e': 0.00017777777777777779}",25,13,14.620649254129258,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.05, 'e': 0.00017313019390581717}",25,2,-9.363760480348615,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.05, 'e': 0.00016866250632484398}",30,4,32.10759034684697,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.05, 'e': 0.0001643655489809336}",30,0,43.77879215417171,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.05, 'e': 0.0001602307322544464}",20,0,22.430284271855484,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.05, 'e': 0.00015625}",20,8,-21.866631194284164,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
81,False,"{'a': 0.05, 'e': 0.00015241579027587258}",30,0,3.5884648717891228,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
82,False,"{'a': 0.05, 'e': 0.000148720999405116}",20,4,20.893273397599696,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.05, 'e': 0.00014515894904920887}",25,0,-54.86857645924787,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
84,False,"{'a': 0.05, 'e': 0.0001417233560090703}",35,0,-5.503784126571074,"{0: 31, 1: 1, 2: 2, 3: 1, 4: 0}",0
85,False,"{'a': 0.05, 'e': 0.0001384083044982699}",20,0,26.27094840977521,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.05, 'e': 0.00013520822065981613}",35,16,10.836293161727287,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.05, 'e': 0.0001321178491214163}",20,0,24.34003239549465,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.05, 'e': 0.00012913223140495868}",20,0,22.866209675213714,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
