trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9704455335485082, 'e': 1.0}",35,0,-218.25864679970428,"{0: 17, 1: 7, 2: 8, 3: 0, 4: 3}",0
2,False,"{'a': 0.9417645335842487, 'e': 0.25}",35,0,-128.25157433059945,"{0: 23, 1: 2, 2: 7, 3: 2, 4: 1}",0
3,False,"{'a': 0.9139311852712282, 'e': 0.1111111111111111}",35,2,-49.212648835235264,"{0: 27, 1: 1, 2: 3, 3: 1, 4: 1}",1
4,False,"{'a': 0.8869204367171575, 'e': 0.0625}",25,0,-120.00977707559073,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.8607079764250578, 'e': 0.04}",20,0,-61.0338986868987,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
6,False,"{'a': 0.835270211411272, 'e': 0.027777777777777776}",20,0,-142.45959310366396,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
7,False,"{'a': 0.8105842459701871, 'e': 0.02040816326530612}",20,0,-56.503163319652046,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.7866278610665535, 'e': 0.015625}",20,8,11.430547145267393,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.7633794943368531, 'e': 0.012345679012345678}",20,0,13.85542713799552,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.7408182206817179, 'e': 0.01}",25,8,-0.733007297327132,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,False,"{'a': 0.7189237334319262, 'e': 0.008264462809917356}",25,6,-36.16328212992687,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
12,False,"{'a': 0.6976763260710311, 'e': 0.006944444444444444}",20,0,28.33628030413483,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.6770568744981647, 'e': 0.005917159763313609}",30,21,-8.180451961642692,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
14,False,"{'a': 0.6570468198150567, 'e': 0.00510204081632653}",25,0,-33.15522056908489,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.6376281516217733, 'e': 0.0044444444444444444}",20,0,-47.754830273592525,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.6187833918061408, 'e': 0.00390625}",35,0,-89.90582811720196,"{0: 29, 1: 2, 2: 1, 3: 1, 4: 2}",0
17,False,"{'a': 0.6004955788122659, 'e': 0.0034602076124567475}",25,18,-1.3858675676962067,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5827482523739896, 'e': 0.0030864197530864196}",25,0,-30.244528363199056,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
19,False,"{'a': 0.5655254386995372, 'e': 0.002770083102493075}",20,0,26.87651835331396,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5488116360940265, 'e': 0.0025}",20,0,-39.72618807785239,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
21,False,"{'a': 0.5325918010068972, 'e': 0.0022675736961451248}",25,13,22.261054822646354,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5168513344916993, 'e': 0.002066115702479339}",25,0,-89.30688741784607,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",1
23,False,"{'a': 0.5015760690660556, 'e': 0.001890359168241966}",30,2,-1.8723046097329172,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 1}",1
