trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9704455335485082, 'e': 1.0}",35,0,-262.4716568187017,"{0: 17, 1: 6, 2: 5, 3: 4, 4: 3}",0
2,False,"{'a': 0.9417645335842487, 'e': 0.25}",30,0,-227.5433059492944,"{0: 16, 1: 4, 2: 5, 3: 1, 4: 4}",0
3,False,"{'a': 0.9139311852712282, 'e': 0.1111111111111111}",25,0,-67.25874699388956,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.8869204367171575, 'e': 0.0625}",20,11,-23.47835640771083,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.8607079764250578, 'e': 0.04}",20,10,-39.87494195909778,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
6,False,"{'a': 0.835270211411272, 'e': 0.027777777777777776}",20,0,-47.75000804281627,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.8105842459701871, 'e': 0.02040816326530612}",30,6,-103.15751841065146,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 1}",1
8,False,"{'a': 0.7866278610665535, 'e': 0.015625}",25,0,-64.10593198644928,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
9,False,"{'a': 0.7633794943368531, 'e': 0.012345679012345678}",20,0,-0.12745991775049803,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.7408182206817179, 'e': 0.01}",25,5,-83.51319416820061,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.7189237334319262, 'e': 0.008264462809917356}",30,0,-66.96538683731197,"{0: 24, 1: 3, 2: 1, 3: 0, 4: 2}",0
12,False,"{'a': 0.6976763260710311, 'e': 0.006944444444444444}",20,0,19.480082116502377,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.6770568744981647, 'e': 0.005917159763313609}",20,11,14.542115693180149,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.6570468198150567, 'e': 0.00510204081632653}",25,0,28.977251884073176,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.6376281516217733, 'e': 0.0044444444444444444}",25,0,-78.22660086423308,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.6187833918061408, 'e': 0.00390625}",35,0,-168.0839084045772,"{0: 26, 1: 2, 2: 3, 3: 0, 4: 4}",0
17,False,"{'a': 0.6004955788122659, 'e': 0.0034602076124567475}",25,0,-5.569046044856867,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5827482523739896, 'e': 0.0030864197530864196}",25,0,-29.75189523160712,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5655254386995372, 'e': 0.002770083102493075}",20,14,1.8735788363400019,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5488116360940265, 'e': 0.0025}",30,11,35.014292902643646,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5325918010068972, 'e': 0.0022675736961451248}",30,0,-15.79841916986923,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
22,False,"{'a': 0.5168513344916993, 'e': 0.002066115702479339}",25,12,19.430972924564873,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.5015760690660556, 'e': 0.001890359168241966}",25,0,-3.022864929281294,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
24,False,"{'a': 0.4867522559599717, 'e': 0.001736111111111111}",20,0,-50.99599506410878,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.47236655274101474, 'e': 0.0016}",20,0,4.411866550732215,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
26,False,"{'a': 0.45840601130522357, 'e': 0.0014792899408284023}",25,0,-59.56843037384408,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
27,False,"{'a': 0.44485806622294116, 'e': 0.0013717421124828531}",20,2,29.237412911705835,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.43171052342907973, 'e': 0.0012755102040816326}",20,0,18.409505313047614,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.418951549247639, 'e': 0.0011890606420927466}",20,1,27.773743842503706,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.40656965974059917, 'e': 0.0011111111111111111}",25,0,-101.52515433879967,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
31,False,"{'a': 0.3945537103716012, 'e': 0.001040582726326743}",25,13,22.350916552017196,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.38289288597511206, 'e': 0.0009765625}",25,13,-16.851620874409004,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
33,False,"{'a': 0.3715766910220457, 'e': 0.0009182736455463728}",35,12,24.84617805755686,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.3605949401730783, 'e': 0.0008650519031141869}",30,0,37.16832102324759,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.3499377491111553, 'e': 0.0008163265306122449}",20,11,16.724776260271884,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.33959552564493917, 'e': 0.0007716049382716049}",20,9,5.940417135077222,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.3295589610751891, 'e': 0.0007304601899196494}",25,0,7.709626517197701,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
