trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,5,-125.46709060998205,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 2}",1
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-134.64563867615956,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-133.46318233215118,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.85612787813895,"{0: 9, 1: 1, 2: 9, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,7,-36.31669139316567,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.898601638631405,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-165.40150895282005,"{0: 22, 1: 3, 2: 6, 3: 2, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.22837322413584,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-104.3843403534523,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.639511457471,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.04438926231312,"{0: 16, 1: 2, 2: 5, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-124.83036112476158,"{0: 13, 1: 2, 2: 1, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-167.1096571500723,"{0: 20, 1: 6, 2: 6, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",30,0,-284.192609274178,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 5}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-80.38466318906963,"{0: 13, 1: 5, 2: 7, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-288.1554002197749,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 6}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-42.634857007205376,"{0: 22, 1: 4, 2: 3, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.940783104335,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,8,-61.0251136105894,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-160.68876722211496,"{0: 14, 1: 4, 2: 10, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-132.29567074559415,"{0: 7, 1: 5, 2: 7, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-132.07291765349171,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-142.66226417746145,"{0: 9, 1: 4, 2: 3, 3: 3, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-99.43153665994413,"{0: 20, 1: 3, 2: 3, 3: 4, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,6,-102.92636868768744,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.95440489965425,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-120.06289061245617,"{0: 18, 1: 3, 2: 8, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.92639092626618,"{0: 14, 1: 5, 2: 2, 3: 2, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,2,-61.00169693727044,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.90070799798785,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
